id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
80610,False,Tehran,Tuesday 09AM,"بدون خط خش دارای گلس وقاب  
کمتر از 1سال استفاده شده حافظه بالا کاملا سالمه هنگم نمیکنه
لطفا به ایمیلم پیام بدید یا اس بدید به شماره ام",3,NA,mobile,300000,هوآوی 3G,NA,NA
80843,False,Kermanshah,Saturday 03PM,قیمت مورد نظرتان را ارسال کنید,3,NA,mobile,-1,الجی مگنا,NA,NA
80849,False,Isfahan,Friday 08AM,"یک عدد گوشی هواوی G750 بفروش میرسد.
عالی و سالم 
با مشخصات بالا :
دوربین جلو 5 مگاپیکسل 
دوربین عقب 13 مگاپیکسل 
8 هسته ای 
با کارتن و شارژر 
محافظ صفحه و 2عدد گارد گوشی رایگان 
دو سیم کارت 
فقط مشتری واقعی تماس بگیره با تشکر از سایت دیوار",0,NA,mobile,400000,فروش گوشی هواوی G750,NA,NA
80946,True,Karaj,Wednesday 03PM,ساپورت همه برنامه ها,2,NA,mobile,250000,نوکیا اندروید XL,NA,NA
80949,True,Mashhad,Monday 05PM,بسیار تمیز و کم کار از اول دست خودم بوده با کارتن,3,NA,mobile,470000,گوشی Sony مدل z 1 کامپکت,NA,NA
80995,True,Ahvaz,Monday 08AM,ایفون 6 پلاس 64 گیگ رنگ گری lla. پیام بدین,3,NA,mobile,1900000,ایفون 6 پلاس 64,NA,NA
81015,False,Shiraz,Saturday 02PM,باسلام  یه جی 2 دارم 21 ما گارانتی داره نونو بدون خط و خش یه ضد ضربه روشه اندروید$NUMبدون ارتقاع  با A5 خوب هم معا وضه میکنم سرهم میدم یه تخفیف هم میدم گوشی رنگ گلد هست و 4 جی هست,2,NA,mobile,480000,سامسونگ j2با 21 ماه گارانتی,NA,NA
81024,True,Karaj,Saturday 03AM,گوشی کاملا نو میباشد فقط چند روز استفاده شده و اوازم داخل کارتن اصلا استفاده نشده در حال حاضر هم گوشی داخل کارتن هست رنگ سفید سیلور,0,NA,mobile,3060000,iphone 7 128G,NA,NA
81343,False,Isfahan,Tuesday 03PM,یه گرندتو عالی مشکی بدون هیچ مشکلی تخفیف پای معامله فروش بعلت خرید اپل,3,NA,mobile,350000,گرند2عالی,NA,NA
81378,True,Ahvaz,Friday 04PM,گوشی سامسونگ a5 فورجی 2 سیمکارت از نظر فنی بدون هیییچ مشکلی تضمینی و به شرط فقط دورش یکم رنگ رفتگی داره که با قاب اصلا پیدا نیست گوشی اصلی و ساخت ویتنام هست دوسیمکارتشم فورجی هست با تمام وسایل کارتون شارژر هندزفری آک تماس پیام واتساپ در خدمتم یاعلی...,3,NA,mobile,630000,سامسونگ a5 فورجی 2 سیم,NA,NA
