brands
Nokia::نوکیا
Apple::اپل
Samsung::سامسونگ
Huawei::هوآوی
LG::ال‌جی
ZTE::زدتی‌ای
Sony Ericsson::سونی اریکسون
Sony::سونی
BlackBerry::بلک‌بری
HTC::اچ‌تی‌سی
Lenovo::لنوو
Farassoo::فراسو
Amazon::آمازون
Motorola::موتورلا
Acer::ایسر
Dell::دل
Asus::ایسوس
